;containerID;SH;Category;Weight;Filling start;Alt filling start;Filling end;Loading;Leaving;Plate;Arrival;Unload;trip_id
24;621;sh2;Sekatuote siipikarja luokka 3;15640kg;2022-11-02T13:41:00Z;;2022-11-02T16:58:00Z;2022-11-02T22:13:00Z;2022-11-02T22:23:00Z;truck2;2022-11-02T18:27:00Z;2022-11-02T22:15:00Z;20.0
25;661;sh2;Sekatuote siipikarja luokka 3;12580kg;2022-11-02T15:47:00Z;;2022-11-02T21:58:00Z;2022-11-03T02:06:00Z;2022-11-03T02:21:00Z;truck5;2022-11-03T04:01:00Z;2022-11-03T04:03:00Z;21.0
26;616;sh1;Sekatuote siipikarja luokka 3;12620kg;2022-11-03T11:19:00Z;;2022-11-03T12:55:00Z;2022-11-03T16:11:00Z;2022-11-03T17:00:00Z;truck4;2022-11-03T18:46:00Z;2022-11-03T19:11:00Z;22.0
27;602;sh1;Sekatuote siipikarja luokka 3;14320kg;2022-11-03T15:08:00Z;;2022-11-03T16:50:00Z;2022-11-03T16:12:00Z;2022-11-03T17:00:00Z;truck4;2022-11-03T18:46:00Z;2022-11-03T19:12:00Z;22.0
28;624;sh1;Sekatuote siipikarja luokka 3;14040kg;2022-11-03T13:01:00Z;;2022-11-03T15:08:00Z;2022-11-03T16:10:00Z;2022-11-03T17:00:00Z;truck4;2022-11-03T18:46:00Z;2022-11-03T18:47:00Z;22.0
29;617;sh2;Varpaat, Siipikarja, Luokka 3;11660kg;2022-11-03T04:11:00Z;;2022-11-03T18:15:00Z;2022-11-03T18:42:00Z;2022-11-03T18:51:00Z;truck2;2022-11-03T14:17:00Z;2022-11-03T19:03:00Z;23.0
30;656;sh2;Sekatuote siipikarja luokka 3;15620kg;2022-11-03T13:54:00Z;;2022-11-03T17:26:00Z;2022-11-03T18:42:00Z;2022-11-03T18:51:00Z;truck2;2022-11-03T14:17:00Z;2022-11-03T18:41:00Z;24.0
31;631;sh1;Sekatuote siipikarja luokka 3;14260kg;2022-10-26T14:24:00Z;;2022-10-22T01:50:00Z;2022-11-03T22:25:00Z;2022-11-03T22:30:00Z;truck4;2022-11-03T18:46:00Z;2022-11-03T22:43:00Z;25.0
32;642;sh1;Sekatuote siipikarja luokka 3;14600kg;2022-11-03T18:34:00Z;;2022-11-03T21:13:00Z;2022-11-03T22:24:00Z;2022-11-03T22:30:00Z;truck4;2022-11-03T18:46:00Z;2022-11-03T22:18:00Z;26.0
33;661;sh2;Sekatuote siipikarja luokka 3;9740kg;2022-11-03T18:38:00Z;;2022-11-03T22:44:00Z;2022-11-03T22:45:00Z;2022-11-03T22:50:00Z;truck5;2022-11-03T17:49:00Z;2022-11-03T22:41:00Z;27.0
